ID	Instructor	Title	Topic	URL	Venue	Year
0	Varada Kolhatkar	Introduction	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture1_intro.pdf	University of British Columbia	2019
1	Varada Kolhatkar	CSPs: Arc Consistency and Domain Splitting	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture10_CSPs_arc_consistency.pdf	University of British Columbia	2019
2	Varada Kolhatkar	CSPs: Domain Splitting and Local Search	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture11_domain_splitting_local_search.pdf	University of British Columbia	2019
3	Varada Kolhatkar	CSPs: Stochastic Local Search	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture12_SLS.pdf	University of British Columbia	2019
4	Varada Kolhatkar	CSPs: Stochastic Local Search Variants	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture13_SLS_variants.pdf	University of British Columbia	2019
5	Varada Kolhatkar	Planning: Representation and Forward Search	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture14_planning_intro.pdf	University of British Columbia	2019
6	Varada Kolhatkar	Planning: Heuristics and CSP Planning	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture15_planning_CSP.pdf	University of British Columbia	2019
7	Varada Kolhatkar	Logics: Propositional and Propositional Definite Clause Logic: Syntax and Semantics	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture16_logic.pdf	University of British Columbia	2019
8	Varada Kolhatkar	Logics: Soundness, Completeness, and proofs	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture17_logic_bottom_up_proofs.pdf	University of British Columbia	2019
9	Varada Kolhatkar	Logics: Top-down proofs and Datalog	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture18_logic_top_down_DL.pdf	University of British Columbia	2019
10	Varada Kolhatkar	Reasoning under Uncertainty: Introduction to Probability	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture19_uncertainty_probability_intro.pdf	University of British Columbia	2019
11	Varada Kolhatkar	Representational Dimensions and AI Applications	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture2_representational_dimensions.pdf	University of British Columbia	2019
12	Varada Kolhatkar	Uncertainty: Inference by Enumeration and Independence	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture20_uncertainty_independence_bayes_net.pdf	University of British Columbia	2019
13	Varada Kolhatkar	Uncertainty: Belief Networks and Introduction to VE	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture21_uncertainty_bayes_net.pdf	University of British Columbia	2019
14	Varada Kolhatkar	Uncertainty: Variable Elimination Algorithm	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture22_uncertainty_VE.pdf	University of British Columbia	2019
15	Varada Kolhatkar	Uncertainty: Markov Models and Hidden Markov Models	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture23_uncertainty_MM_HMM.pdf	University of British Columbia	2019
16	Varada Kolhatkar	Decision Theory: Introduction to Decision Networks	811	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture24_decision_theory_intro.pdf	University of British Columbia	2019
