5,1,1
6,1,1
1,10,1
13,1,1
40,1,1
41,1,1
55,1,1
75,1,1
76,1,1
104,1,1
1,106,1
1,107,1
1,108,1
1,110,1
1,112,1
1,115,1
1,116,1
1,117,1
1,118,1
121,1,1
122,1,1
123,1,1
1,127,1
1,128,1
1,129,1
1,130,1
1,131,1
1,132,1
1,137,1
1,147,1
150,1,1
151,1,1
2,23,1
83,2,1
3,4,1
5,3,1
7,3,1
9,3,1
10,3,1
11,3,1
12,3,1
13,3,1
14,3,1
16,3,1
17,3,1
18,3,1
19,3,1
20,3,1
21,3,1
22,3,1
23,3,1
24,3,1
25,3,1
26,3,1
27,3,1
28,3,1
29,3,1
30,3,1
31,3,1
32,3,1
33,3,1
34,3,1
35,3,1
36,3,1
37,3,1
38,3,1
39,3,1
42,3,1
43,3,1
44,3,1
45,3,1
46,3,1
47,3,1
48,3,1
49,3,1
50,3,1
51,3,1
52,3,1
53,3,1
54,3,1
55,3,1
56,3,1
58,3,1
59,3,1
60,3,1
61,3,1
62,3,1
63,3,1
3,64,1
67,3,1
68,3,1
69,3,1
70,3,1
71,3,1
72,3,1
73,3,1
74,3,1
75,3,1
77,3,1
78,3,1
79,3,1
80,3,1
81,3,1
82,3,1
84,3,1
85,3,1
86,3,1
87,3,1
3,88,1
89,3,1
90,3,1
91,3,1
92,3,1
93,3,1
94,3,1
95,3,1
96,3,1
97,3,1
98,3,1
99,3,1
100,3,1
101,3,1
102,3,1
103,3,1
104,3,1
105,3,1
106,3,1
3,107,1
108,3,1
109,3,1
110,3,1
111,3,1
3,112,1
3,113,1
114,3,1
3,115,1
3,116,1
3,117,1
3,118,1
3,119,1
120,3,1
123,3,1
3,124,1
125,3,1
126,3,1
127,3,1
128,3,1
3,129,1
3,130,1
3,131,1
132,3,1
133,3,1
3,134,1
135,3,1
136,3,1
137,3,1
138,3,1
139,3,1
3,140,1
141,3,1
3,142,1
3,143,1
144,3,1
3,145,1
146,3,1
3,147,1
148,3,1
149,3,1
150,3,1
151,3,1
6,4,1
11,4,1
12,4,1
20,4,1
21,4,1
22,4,1
23,4,1
24,4,1
25,4,1
26,4,1
27,4,1
28,4,1
29,4,1
30,4,1
31,4,1
32,4,1
33,4,1
34,4,1
35,4,1
36,4,1
37,4,1
38,4,1
39,4,1
40,4,1
41,4,1
42,4,1
44,4,1
46,4,1
47,4,1
48,4,1
49,4,1
53,4,1
54,4,1
56,4,1
58,4,1
59,4,1
72,4,1
73,4,1
75,4,1
76,4,1
