2,Anaphora Resolution,https://en.wikipedia.org/wiki/Anaphora_(linguistics)
3,Generative Adversarial Networks,https://en.wikipedia.org/wiki/Generative_adversarial_network
4,Neural Machine Translation,https://en.wikipedia.org/wiki/Neural_machine_translation
5,Variational Autoencoders,https://en.wikipedia.org/wiki/Autoencoder#Variational_autoencoder_(VAE)
6,IBM Translation Models,https://en.wikipedia.org/wiki/IBM_alignment_models
7,BLEU,https://en.wikipedia.org/wiki/BLEU
8,ROUGE,https://en.wikipedia.org/wiki/ROUGE_(metric)
9,Scientific article summarization,NULL
10,Open information extraction,https://en.wikipedia.org/wiki/Open_information_extraction
11,Sentence simplification,https://en.wikipedia.org/wiki/Text_simplification
12,Attention Models,NULL
13,Knowledge graph,https://en.wikipedia.org/wiki/Ontology_(information_science)
14,Semantic Role Labeling,https://en.wikipedia.org/wiki/Semantic_role_labeling
15,Abstract Meaning Representation,https://en.wikipedia.org/wiki/Abstract_Meaning_Representation
16,Coreference and Coreference Resolution,https://en.wikipedia.org/wiki/Coreference#Coreference_resolution
17,Machine Reading Comprehension,NULL
18,Context Free Grammar,https://en.wikipedia.org/wiki/Context-free_grammar
19,Context sensitive grammar,https://en.wikipedia.org/wiki/Context-sensitive_grammar
20,Domain Adaptation,https://en.wikipedia.org/wiki/Domain_adaptation
21,Transfer Learning,https://en.wikipedia.org/wiki/Transfer_learning
22,Capsule Networks,NULL
23,Reinforcement Learning,https://en.wikipedia.org/wiki/Reinforcement_learning
24,Q Learning,https://en.wikipedia.org/wiki/Q-learning
25,DQN,NULL
26,Backpropagation,https://en.wikipedia.org/wiki/Backpropagation
27,Word Embedding,https://en.wikipedia.org/wiki/Word_embedding
28,Logistic Regression,https://en.wikipedia.org/wiki/Logistic_regression
29,Semantic Parsing,https://en.wikipedia.org/wiki/Semantic_analysis_(computational)
30,Stemming,https://en.wikipedia.org/wiki/Stemming
31,Sentiment Analysis,https://en.wikipedia.org/wiki/Sentiment_analysis
32,Penn Treebank,https://en.wikipedia.org/wiki/Treebank
