ID	Instructor	Title	Topic	URL	Venue	Year
0	Hieu Pham	Latent Models for Word Alignments without Magics	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/em_note.pdf	Carnegie Mellon University	2017
1	Taylor Berg-Kirkpatrick, Robert Frederking	Semantics and First-Order Predicate Calculus	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FOPC-F17.pdf	Carnegie Mellon University	2017
2	Taylor Berg-Kirkpatrick, Robert Frederking	Morphology	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/morphology-F17.pdf	Carnegie Mellon University	2017
3	Maria Ryskina	EM for Word Alignment	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation10_slides.pdf	Carnegie Mellon University	2017
4	Akshay Srivatsan	HMM Aligner Recitation	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation11_slides.pdf	Carnegie Mellon University	2017
5	Taylor Berg-Kirkpatrick, Robert Frederking	Algorithms for NLP: A Beginner’s Guide to Project 1	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation1_slides.pdf	Carnegie Mellon University	2017
6	Maria Ryskina	Algorithms for NLP: Recitation notes on Kneser-Ney	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation2_notes.pdf	Carnegie Mellon University	2017
7	Taylor Berg-Kirkpatrick, Robert Frederking	Algorithms for NLP: Implementation Tricks Slides	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation3_slides.pdf	Carnegie Mellon University	2017
8	Taylor Berg-Kirkpatrick, Robert Frederking	Hidden Markov Models Notes	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation4_notes.pdf	Carnegie Mellon University	2017
9	Taylor Berg-Kirkpatrick, Robert Frederking	Hidden Markov Models	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation4_slides.pdf	Carnegie Mellon University	2017
10	Maria Ryskina	Conditional Random Fields	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation5_slides.pdf	Carnegie Mellon University	2017
11	Akshay Srivatsan	PCFG	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation6_slides.pdf	Carnegie Mellon University	2017
12	Akshay Srivatsan	PCFG	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation6_slides.pptx	Carnegie Mellon University	2017
13	Maria Ryskina	Algorithms for NLP: Recitation notes on coarse-to-fine	112	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation8_notes_coarse_to_fine.pdf	Carnegie Mellon University	2017
14	Yulia Tsvetkov, Graham Neubig, Alan Black	Lang in 10: Hindi	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/Hindi_in_10.pdf	Carnegie Mellon University	2020
15	Yulia Tsvetkov, Graham Neubig, Alan Black	Speech, Code Switching and Annotation	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/Intro_Speech_CS.pdf	Carnegie Mellon University	2020
16	Yulia Tsvetkov, Graham Neubig, Alan Black	Multilingual Natural Language Processing: Intro Linguistics	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-01-intro-linguistics.pdf	Carnegie Mellon University	2020
17	Yulia Tsvetkov, Graham Neubig, Alan Black	Multilingual Natural Language Processing: Course Introduction	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-01-intro.pdf	Carnegie Mellon University	2020
18	Yulia Tsvetkov, Graham Neubig, Alan Black	Typology: The Space of Languages	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-02-typology.pdf	Carnegie Mellon University	2020
19	Yulia Tsvetkov, Graham Neubig, Alan Black	Words, Parts of Speech, Morphology	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-03-words.pdf	Carnegie Mellon University	2020
20	Yulia Tsvetkov, Graham Neubig, Alan Black	Sequence Labeling/Classification 1	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-04-seqlabeling.pdf	Carnegie Mellon University	2020
21	Yulia Tsvetkov, Graham Neubig, Alan Black	Sequence Labeling/Classification 2	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-05-seqlabelingadv.pdf	Carnegie Mellon University	2020
22	Yulia Tsvetkov, Graham Neubig, Alan Black	Translation and Translation Data	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-06-translation.pdf	Carnegie Mellon University	2020
23	Yulia Tsvetkov, Graham Neubig, Alan Black	Translation Models 1	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-07-mtmodels.pdf	Carnegie Mellon University	2020
24	Yulia Tsvetkov, Graham Neubig, Alan Black	Translation Models 2	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-08-mtaugmentation.pdf	Carnegie Mellon University	2020
25	Yulia Tsvetkov, Graham Neubig, Alan Black	Language Contact and Similarity Across Languages	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-09-languagecontact.pdf	Carnegie Mellon University	2020
26	Yulia Tsvetkov, Graham Neubig, Alan Black	Unsupervised Translation	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-11-unsupervisedmt.pdf	Carnegie Mellon University	2020
27	Yulia Tsvetkov, Graham Neubig, Alan Black	Code Switching, Pidgins & Creoles	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multilingual-11-codeswitching.pdf	Carnegie Mellon University	2020
28	Yulia Tsvetkov, Graham Neubig, Alan Black	Speech	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multilingual-12-speech.pdf	Carnegie Mellon University	2020
29	Yulia Tsvetkov, Graham Neubig, Alan Black	Multilingual Training and Cross-lingual Transfer	112	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-10-multilingual_training.pdf	Carnegie Mellon University	2020
30	Kevin Gimpel	Neural Network for NLP	112	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/10.pdf	Toyota Technological Institute at Chicago	2016
